FID,gid,speed_90
ReAtlas_us_windspeed_offshore.12087,12087,8.375
ReAtlas_us_windspeed_offshore.12088,12088,8.625
ReAtlas_us_windspeed_offshore.12090,12090,8.125
ReAtlas_us_windspeed_offshore.12091,12091,8.375
ReAtlas_us_windspeed_offshore.12092,12092,8.875
ReAtlas_us_windspeed_offshore.12093,12093,8.875
ReAtlas_us_windspeed_offshore.12096,12096,8.375
ReAtlas_us_windspeed_offshore.12097,12097,8.125
ReAtlas_us_windspeed_offshore.12098,12098,11.125
ReAtlas_us_windspeed_offshore.12100,12100,7.875
ReAtlas_us_windspeed_offshore.12101,12101,8.125
ReAtlas_us_windspeed_offshore.12102,12102,10.875
ReAtlas_us_windspeed_offshore.12104,12104,8.625
ReAtlas_us_windspeed_offshore.12105,12105,8.375
ReAtlas_us_windspeed_offshore.12166,12166,8.625
ReAtlas_us_windspeed_offshore.12107,12107,8.875
ReAtlas_us_windspeed_offshore.12140,12140,8.375
ReAtlas_us_windspeed_offshore.12141,12141,9.125
ReAtlas_us_windspeed_offshore.12108,12108,9.125
ReAtlas_us_windspeed_offshore.12110,12110,8.625
ReAtlas_us_windspeed_offshore.12111,12111,8.875
ReAtlas_us_windspeed_offshore.12113,12113,9.125
ReAtlas_us_windspeed_offshore.12114,12114,11.125
ReAtlas_us_windspeed_offshore.12115,12115,5.875
ReAtlas_us_windspeed_offshore.12116,12116,5.625
ReAtlas_us_windspeed_offshore.12117,12117,9.125
ReAtlas_us_windspeed_offshore.12119,12119,6.375
ReAtlas_us_windspeed_offshore.12122,12122,8.625
ReAtlas_us_windspeed_offshore.12123,12123,8.875
ReAtlas_us_windspeed_offshore.12124,12124,9.125
ReAtlas_us_windspeed_offshore.12126,12126,6.875
ReAtlas_us_windspeed_offshore.12129,12129,7.875
ReAtlas_us_windspeed_offshore.12130,12130,7.625
ReAtlas_us_windspeed_offshore.12132,12132,8.125
ReAtlas_us_windspeed_offshore.12147,12147,8.625
ReAtlas_us_windspeed_offshore.12150,12150,9.375
ReAtlas_us_windspeed_offshore.12157,12157,8.375
ReAtlas_us_windspeed_offshore.12158,12158,8.625
ReAtlas_us_windspeed_offshore.12174,12174,7.875
ReAtlas_us_windspeed_offshore.12175,12175,7.625
ReAtlas_us_windspeed_offshore.12178,12178,8.625
ReAtlas_us_windspeed_offshore.12181,12181,9.625
ReAtlas_us_windspeed_offshore.12183,12183,9.375
ReAtlas_us_windspeed_offshore.12186,12186,7.875
ReAtlas_us_windspeed_offshore.12191,12191,8.625
ReAtlas_us_windspeed_offshore.12192,12192,8.125
ReAtlas_us_windspeed_offshore.12200,12200,8.125
ReAtlas_us_windspeed_offshore.12202,12202,9.125
ReAtlas_us_windspeed_offshore.12206,12206,8.875
ReAtlas_us_windspeed_offshore.12208,12208,9.125
ReAtlas_us_windspeed_offshore.12209,12209,9.625
ReAtlas_us_windspeed_offshore.12210,12210,9.375
ReAtlas_us_windspeed_offshore.12211,12211,8.625
ReAtlas_us_windspeed_offshore.12215,12215,9.125
ReAtlas_us_windspeed_offshore.12216,12216,9.375
ReAtlas_us_windspeed_offshore.12217,12217,9.125
ReAtlas_us_windspeed_offshore.12223,12223,9.375
ReAtlas_us_windspeed_offshore.12224,12224,10.125
ReAtlas_us_windspeed_offshore.12230,12230,9.625
ReAtlas_us_windspeed_offshore.12233,12233,10.125
ReAtlas_us_windspeed_offshore.12235,12235,11.125
ReAtlas_us_windspeed_offshore.12237,12237,11.125
ReAtlas_us_windspeed_offshore.12238,12238,10.875
ReAtlas_us_windspeed_offshore.12241,12241,10.625
ReAtlas_us_windspeed_offshore.12244,12244,10.625
ReAtlas_us_windspeed_offshore.12283,12283,10.375
ReAtlas_us_windspeed_offshore.12300,12300,9.625
ReAtlas_us_windspeed_offshore.12324,12324,10.875
ReAtlas_us_windspeed_offshore.12344,12344,10.875
ReAtlas_us_windspeed_offshore.12478,12478,10.875
ReAtlas_us_windspeed_offshore.12534,12534,9.625
ReAtlas_us_windspeed_offshore.12550,12550,9.375
ReAtlas_us_windspeed_offshore.12565,12565,7.375
ReAtlas_us_windspeed_offshore.12567,12567,7.375
ReAtlas_us_windspeed_offshore.12570,12570,9.125
ReAtlas_us_windspeed_offshore.12610,12610,7.875
ReAtlas_us_windspeed_offshore.10213,10213,8.125
ReAtlas_us_windspeed_offshore.10222,10222,8.125
ReAtlas_us_windspeed_offshore.10682,10682,6.625
ReAtlas_us_windspeed_offshore.10683,10683,6.625
ReAtlas_us_windspeed_offshore.10684,10684,6.625
ReAtlas_us_windspeed_offshore.10685,10685,6.375
ReAtlas_us_windspeed_offshore.10686,10686,6.375
ReAtlas_us_windspeed_offshore.10687,10687,6.375
ReAtlas_us_windspeed_offshore.10688,10688,6.125
ReAtlas_us_windspeed_offshore.10690,10690,6.625
ReAtlas_us_windspeed_offshore.10695,10695,6.625
ReAtlas_us_windspeed_offshore.10696,10696,6.625
ReAtlas_us_windspeed_offshore.10697,10697,7.125
ReAtlas_us_windspeed_offshore.10698,10698,6.625
ReAtlas_us_windspeed_offshore.12582,12582,8.125
ReAtlas_us_windspeed_offshore.12585,12585,8.875
ReAtlas_us_windspeed_offshore.12599,12599,8.625
ReAtlas_us_windspeed_offshore.12603,12603,8.375
ReAtlas_us_windspeed_offshore.12605,12605,8.125
ReAtlas_us_windspeed_offshore.11963,11963,10.375
ReAtlas_us_windspeed_offshore.12503,12503,10.375
ReAtlas_us_windspeed_offshore.12525,12525,9.875
ReAtlas_us_windspeed_offshore.10673,10673,7.625
ReAtlas_us_windspeed_offshore.10674,10674,6.375
ReAtlas_us_windspeed_offshore.10680,10680,6.625
ReAtlas_us_windspeed_offshore.10906,10906,6.875
ReAtlas_us_windspeed_offshore.10216,10216,8.125
ReAtlas_us_windspeed_offshore.10703,10703,5.875
ReAtlas_us_windspeed_offshore.10791,10791,6.875
ReAtlas_us_windspeed_offshore.10792,10792,7.125
ReAtlas_us_windspeed_offshore.10861,10861,4.375
ReAtlas_us_windspeed_offshore.10202,10202,8.125
ReAtlas_us_windspeed_offshore.10212,10212,8.125
ReAtlas_us_windspeed_offshore.10681,10681,6.625
ReAtlas_us_windspeed_offshore.10223,10223,8.125
ReAtlas_us_windspeed_offshore.10361,10361,8.125
ReAtlas_us_windspeed_offshore.10475,10475,8.125
ReAtlas_us_windspeed_offshore.10503,10503,8.125
ReAtlas_us_windspeed_offshore.10607,10607,8.375
ReAtlas_us_windspeed_offshore.10587,10587,8.375
ReAtlas_us_windspeed_offshore.10590,10590,8.375
ReAtlas_us_windspeed_offshore.10657,10657,7.125
ReAtlas_us_windspeed_offshore.10664,10664,6.625
ReAtlas_us_windspeed_offshore.10732,10732,5.625
ReAtlas_us_windspeed_offshore.10699,10699,6.125
ReAtlas_us_windspeed_offshore.10704,10704,6.625
ReAtlas_us_windspeed_offshore.10705,10705,6.125
ReAtlas_us_windspeed_offshore.10706,10706,6.125
ReAtlas_us_windspeed_offshore.10707,10707,6.125
ReAtlas_us_windspeed_offshore.10708,10708,6.125
ReAtlas_us_windspeed_offshore.10709,10709,7.125
ReAtlas_us_windspeed_offshore.10710,10710,6.875
ReAtlas_us_windspeed_offshore.10711,10711,6.625
ReAtlas_us_windspeed_offshore.10712,10712,6.125
ReAtlas_us_windspeed_offshore.10713,10713,5.875
ReAtlas_us_windspeed_offshore.10714,10714,6.125
ReAtlas_us_windspeed_offshore.10715,10715,6.125
ReAtlas_us_windspeed_offshore.10716,10716,6.125
ReAtlas_us_windspeed_offshore.10717,10717,7.125
ReAtlas_us_windspeed_offshore.10718,10718,7.375
ReAtlas_us_windspeed_offshore.10719,10719,6.375
ReAtlas_us_windspeed_offshore.10720,10720,6.375
ReAtlas_us_windspeed_offshore.10721,10721,6.625
ReAtlas_us_windspeed_offshore.10722,10722,6.875
ReAtlas_us_windspeed_offshore.10723,10723,6.375
ReAtlas_us_windspeed_offshore.10725,10725,7.375
ReAtlas_us_windspeed_offshore.10726,10726,5.875
ReAtlas_us_windspeed_offshore.10727,10727,5.375
ReAtlas_us_windspeed_offshore.10728,10728,5.875
ReAtlas_us_windspeed_offshore.10729,10729,5.875
ReAtlas_us_windspeed_offshore.10730,10730,5.625
ReAtlas_us_windspeed_offshore.10731,10731,6.125
ReAtlas_us_windspeed_offshore.10733,10733,5.625
ReAtlas_us_windspeed_offshore.10734,10734,5.625
ReAtlas_us_windspeed_offshore.10735,10735,5.625
ReAtlas_us_windspeed_offshore.10736,10736,5.875
ReAtlas_us_windspeed_offshore.10737,10737,5.875
ReAtlas_us_windspeed_offshore.10738,10738,6.125
ReAtlas_us_windspeed_offshore.10739,10739,6.375
ReAtlas_us_windspeed_offshore.10740,10740,6.625
ReAtlas_us_windspeed_offshore.10741,10741,6.125
ReAtlas_us_windspeed_offshore.10742,10742,5.625
ReAtlas_us_windspeed_offshore.10743,10743,5.375
ReAtlas_us_windspeed_offshore.10744,10744,5.625
ReAtlas_us_windspeed_offshore.10745,10745,5.875
ReAtlas_us_windspeed_offshore.10747,10747,6.625
ReAtlas_us_windspeed_offshore.10748,10748,5.125
ReAtlas_us_windspeed_offshore.10749,10749,6.125
ReAtlas_us_windspeed_offshore.10750,10750,6.125
ReAtlas_us_windspeed_offshore.10751,10751,5.875
ReAtlas_us_windspeed_offshore.10752,10752,6.125
ReAtlas_us_windspeed_offshore.10780,10780,5.625
ReAtlas_us_windspeed_offshore.10781,10781,4.875
ReAtlas_us_windspeed_offshore.10782,10782,5.375
ReAtlas_us_windspeed_offshore.10753,10753,6.625
ReAtlas_us_windspeed_offshore.10754,10754,5.625
ReAtlas_us_windspeed_offshore.10755,10755,5.625
ReAtlas_us_windspeed_offshore.10756,10756,5.875
ReAtlas_us_windspeed_offshore.10757,10757,5.625
ReAtlas_us_windspeed_offshore.10758,10758,5.625
ReAtlas_us_windspeed_offshore.10759,10759,5.375
ReAtlas_us_windspeed_offshore.10760,10760,5.625
ReAtlas_us_windspeed_offshore.10761,10761,5.875
ReAtlas_us_windspeed_offshore.10762,10762,5.625
ReAtlas_us_windspeed_offshore.10763,10763,5.875
ReAtlas_us_windspeed_offshore.10764,10764,5.375
ReAtlas_us_windspeed_offshore.10765,10765,4.875
ReAtlas_us_windspeed_offshore.10766,10766,5.125
ReAtlas_us_windspeed_offshore.10767,10767,5.375
ReAtlas_us_windspeed_offshore.10768,10768,5.875
