FID,gid,class
ReAtlas_us_geothermal.46,46,2
ReAtlas_us_geothermal.51,51,2
ReAtlas_us_geothermal.182,182,1
ReAtlas_us_geothermal.47,47,2
ReAtlas_us_geothermal.38,38,2
ReAtlas_us_geothermal.65,65,2
ReAtlas_us_geothermal.73,73,3
ReAtlas_us_geothermal.579,579,5
ReAtlas_us_geothermal.86,86,4
ReAtlas_us_geothermal.87,87,3
ReAtlas_us_geothermal.13,13,2
ReAtlas_us_geothermal.487,487,3
ReAtlas_us_geothermal.500,500,2
ReAtlas_us_geothermal.615,615,3
ReAtlas_us_geothermal.399,399,2
ReAtlas_us_geothermal.724,724,2
ReAtlas_us_geothermal.408,408,2
ReAtlas_us_geothermal.416,416,2
ReAtlas_us_geothermal.445,445,5
ReAtlas_us_geothermal.475,475,2
ReAtlas_us_geothermal.484,484,5
ReAtlas_us_geothermal.296,296,5
ReAtlas_us_geothermal.317,317,4
ReAtlas_us_geothermal.333,333,5
ReAtlas_us_geothermal.341,341,2
ReAtlas_us_geothermal.344,344,5
ReAtlas_us_geothermal.346,346,2
ReAtlas_us_geothermal.348,348,4
ReAtlas_us_geothermal.709,709,2
ReAtlas_us_geothermal.766,766,1
ReAtlas_us_geothermal.349,349,5
ReAtlas_us_geothermal.371,371,5
ReAtlas_us_geothermal.384,384,2
ReAtlas_us_geothermal.351,351,2
ReAtlas_us_geothermal.368,368,4
ReAtlas_us_geothermal.388,388,4
ReAtlas_us_geothermal.459,459,3
ReAtlas_us_geothermal.201,201,5
ReAtlas_us_geothermal.2,2,5
ReAtlas_us_geothermal.242,242,4
ReAtlas_us_geothermal.790,790,1
ReAtlas_us_geothermal.784,784,1
ReAtlas_us_geothermal.4,4,5
ReAtlas_us_geothermal.10,10,3
ReAtlas_us_geothermal.25,25,5
ReAtlas_us_geothermal.30,30,5
ReAtlas_us_geothermal.746,746,2
ReAtlas_us_geothermal.705,705,2
ReAtlas_us_geothermal.699,699,2
ReAtlas_us_geothermal.767,767,1
ReAtlas_us_geothermal.719,719,2
ReAtlas_us_geothermal.689,689,1
ReAtlas_us_geothermal.607,607,2
ReAtlas_us_geothermal.682,682,1
ReAtlas_us_geothermal.654,654,2
ReAtlas_us_geothermal.656,656,1
ReAtlas_us_geothermal.508,508,5
ReAtlas_us_geothermal.486,486,2
ReAtlas_us_geothermal.483,483,3
ReAtlas_us_geothermal.456,456,5
ReAtlas_us_geothermal.454,454,2
ReAtlas_us_geothermal.466,466,2
ReAtlas_us_geothermal.431,431,2
ReAtlas_us_geothermal.56,56,2
ReAtlas_us_geothermal.421,421,2
ReAtlas_us_geothermal.222,222,2
ReAtlas_us_geothermal.203,203,2
ReAtlas_us_geothermal.534,534,2
ReAtlas_us_geothermal.748,748,3
ReAtlas_us_geothermal.355,355,2
ReAtlas_us_geothermal.357,357,5
ReAtlas_us_geothermal.364,364,1
ReAtlas_us_geothermal.335,335,5
ReAtlas_us_geothermal.370,370,2
ReAtlas_us_geothermal.376,376,3
ReAtlas_us_geothermal.392,392,2
ReAtlas_us_geothermal.427,427,3
ReAtlas_us_geothermal.391,391,5
ReAtlas_us_geothermal.398,398,5
ReAtlas_us_geothermal.401,401,5
ReAtlas_us_geothermal.406,406,2
ReAtlas_us_geothermal.418,418,5
ReAtlas_us_geothermal.433,433,2
ReAtlas_us_geothermal.215,215,4
ReAtlas_us_geothermal.223,223,3
ReAtlas_us_geothermal.128,128,5
ReAtlas_us_geothermal.437,437,2
ReAtlas_us_geothermal.443,443,5
ReAtlas_us_geothermal.230,230,5
ReAtlas_us_geothermal.232,232,5
ReAtlas_us_geothermal.236,236,3
ReAtlas_us_geothermal.172,172,1
ReAtlas_us_geothermal.233,233,4
ReAtlas_us_geothermal.231,231,4
ReAtlas_us_geothermal.240,240,5
ReAtlas_us_geothermal.248,248,3
ReAtlas_us_geothermal.210,210,2
ReAtlas_us_geothermal.252,252,1
ReAtlas_us_geothermal.267,267,2
ReAtlas_us_geothermal.261,261,3
ReAtlas_us_geothermal.269,269,2
ReAtlas_us_geothermal.300,300,1
ReAtlas_us_geothermal.265,265,4
ReAtlas_us_geothermal.324,324,2
ReAtlas_us_geothermal.266,266,3
ReAtlas_us_geothermal.904,904,5
ReAtlas_us_geothermal.923,923,5
ReAtlas_us_geothermal.906,906,5
ReAtlas_us_geothermal.907,907,5
ReAtlas_us_geothermal.914,914,5
ReAtlas_us_geothermal.903,903,2
ReAtlas_us_geothermal.929,929,4
ReAtlas_us_geothermal.911,911,3
ReAtlas_us_geothermal.886,886,3
ReAtlas_us_geothermal.897,897,3
ReAtlas_us_geothermal.881,881,3
ReAtlas_us_geothermal.895,895,3
ReAtlas_us_geothermal.889,889,2
ReAtlas_us_geothermal.905,905,3
ReAtlas_us_geothermal.898,898,4
ReAtlas_us_geothermal.175,175,1
ReAtlas_us_geothermal.868,868,3
ReAtlas_us_geothermal.885,885,2
ReAtlas_us_geothermal.93,93,2
ReAtlas_us_geothermal.866,866,5
ReAtlas_us_geothermal.865,865,2
ReAtlas_us_geothermal.192,192,5
ReAtlas_us_geothermal.227,227,4
ReAtlas_us_geothermal.178,178,1
ReAtlas_us_geothermal.189,189,1
ReAtlas_us_geothermal.195,195,2
ReAtlas_us_geothermal.934,934,2
ReAtlas_us_geothermal.188,188,1
ReAtlas_us_geothermal.162,162,1
ReAtlas_us_geothermal.177,177,1
ReAtlas_us_geothermal.187,187,1
ReAtlas_us_geothermal.194,194,1
ReAtlas_us_geothermal.171,171,1
ReAtlas_us_geothermal.185,185,1
ReAtlas_us_geothermal.181,181,1
ReAtlas_us_geothermal.184,184,1
ReAtlas_us_geothermal.169,169,2
ReAtlas_us_geothermal.54,54,3
ReAtlas_us_geothermal.55,55,3
ReAtlas_us_geothermal.28,28,2
ReAtlas_us_geothermal.33,33,2
ReAtlas_us_geothermal.23,23,2
ReAtlas_us_geothermal.24,24,2
ReAtlas_us_geothermal.749,749,5
ReAtlas_us_geothermal.756,756,3
ReAtlas_us_geothermal.752,752,4
ReAtlas_us_geothermal.745,745,2
ReAtlas_us_geothermal.747,747,5
ReAtlas_us_geothermal.744,744,2
ReAtlas_us_geothermal.753,753,3
ReAtlas_us_geothermal.751,751,4
ReAtlas_us_geothermal.737,737,3
ReAtlas_us_geothermal.735,735,4
ReAtlas_us_geothermal.665,665,2
ReAtlas_us_geothermal.742,742,4
ReAtlas_us_geothermal.739,739,2
ReAtlas_us_geothermal.734,734,2
ReAtlas_us_geothermal.750,750,3
