FID,lat,lon,gid,reachid,pen_power_,pen_head_f
ReAtlas_smallhydro.4889,41.829929964314445,-123.40885746298855,4889,979743.000000,1145.767,1343.274
ReAtlas_smallhydro.4894,41.8638763355538,-123.40582374522435,4894,979724.000000,2118.502,121.161
ReAtlas_smallhydro.4895,41.87703800789109,-123.4479588506843,4895,979707.000000,2329.740,280.020
ReAtlas_smallhydro.4897,41.89766863942575,-123.43804949727595,4897,979706.000000,1460.397,256.496
ReAtlas_smallhydro.4898,41.79432844347042,-123.95365699743215,4898,931025.000000,1224.004,654.429
ReAtlas_smallhydro.4900,41.90001810190448,-123.85523024480705,4900,930972.000000,1914.715,630.315
ReAtlas_smallhydro.2485,41.97327596214275,-123.63291224873933,2485,874518.000000,1017.973,436.089
ReAtlas_smallhydro.2491,42.14288278350354,-123.06405995878933,2491,873842.000000,1439.419,86.975
ReAtlas_smallhydro.2505,42.067499481784296,-123.8035476007706,2505,874452.000000,1102.979,431.037
ReAtlas_smallhydro.2508,42.38626134405034,-122.39604650000891,2508,873413.000000,1018.478,452.231
ReAtlas_smallhydro.2510,42.257020618130376,-123.19357901452207,2510,873771.000000,1077.114,44.488
ReAtlas_smallhydro.2518,42.07191413584979,-124.25593449477262,2518,874674.000000,1480.616,14.764
ReAtlas_smallhydro.2525,42.44120679184944,-122.92238223595567,2525,873548.000000,1674.756,18.274
ReAtlas_smallhydro.2528,42.454532708844326,-122.87417130587926,2528,873259.000000,1581.849,20.046
ReAtlas_smallhydro.2530,42.410552041107266,-123.12725238359673,2530,873530.000000,2459.507,24.836
ReAtlas_smallhydro.2533,42.43383464375198,-123.07082461567086,2533,873527.000000,3455.439,35.105
ReAtlas_smallhydro.2535,42.484735709455215,-122.85826595475064,2535,873242.000000,1165.801,14.764
ReAtlas_smallhydro.2538,42.45413377277066,-123.03344395227089,2538,873528.000000,2322.858,23.622
ReAtlas_smallhydro.2539,42.46067928452901,-123.01196791309795,2539,873535.000000,3050.746,31.102
ReAtlas_smallhydro.2542,42.502966946041006,-122.85136056431159,2542,873229.000000,1783.905,22.572
ReAtlas_smallhydro.2543,42.42306969202803,-123.25236120618072,2543,873517.000000,1831.636,16.732
ReAtlas_smallhydro.2548,42.422879995311234,-123.30507531913071,2548,873495.000000,1140.172,10.367
ReAtlas_smallhydro.2549,42.429217530680255,-123.2770288259527,2549,873498.000000,2277.114,20.768
ReAtlas_smallhydro.2551,42.53091628241565,-122.83683489954234,2551,873205.000000,1549.899,19.652
ReAtlas_smallhydro.2552,42.43017028794699,-123.32830045344875,2552,873493.000000,1714.794,15.551
ReAtlas_smallhydro.2555,42.58642635037114,-122.61735491482858,2555,873212.000000,1237.431,126.542
ReAtlas_smallhydro.2559,42.5510360732888,-122.83947221980131,2559,873186.000000,1264.556,16.043
ReAtlas_smallhydro.2561,42.56660772067323,-122.83456056228306,2561,873173.000000,1613.059,20.472
ReAtlas_smallhydro.2562,42.60290827037877,-122.66519382051675,2562,873199.000000,1312.877,128.740
ReAtlas_smallhydro.2565,42.59680284324687,-122.82128992167077,2565,873161.000000,1482.156,18.865
ReAtlas_smallhydro.2567,42.27725300372074,-124.31347935251915,2567,874556.000000,2018.153,79.265
ReAtlas_smallhydro.2569,42.27848522688622,-124.34540348744972,2569,874550.000000,2054.755,73.786
ReAtlas_smallhydro.2570,42.61352933132232,-122.81223320829997,2570,873144.000000,4047.940,51.739
ReAtlas_smallhydro.2571,42.312885774339314,-124.26481332464724,2571,874547.000000,1006.547,357.776
ReAtlas_smallhydro.2572,42.71071035407934,-122.42611714022777,2572,873143.000000,2294.048,326.181
ReAtlas_smallhydro.2575,42.66046439298123,-122.68373105122879,2575,873133.000000,17030.896,302.657
ReAtlas_smallhydro.2577,42.657026082233536,-122.70804186277851,2577,873131.000000,1439.090,21.424
ReAtlas_smallhydro.2579,42.71384175781209,-122.4821391009553,2579,873121.000000,2535.951,142.356
ReAtlas_smallhydro.2580,42.71797407715364,-122.47034881505672,2580,873137.000000,1803.997,234.318
ReAtlas_smallhydro.2581,42.713540981017836,-122.49964920790012,2581,873119.000000,1025.029,52.592
ReAtlas_smallhydro.2582,42.7280039730383,-122.46777056383621,2582,873094.000000,1280.619,294.094
ReAtlas_smallhydro.2583,42.354821123228696,-124.34295414493747,2583,874534.000000,1266.391,213.714
ReAtlas_smallhydro.2588,42.439800627559094,-124.13649417301338,2588,874268.000000,1693.041,349.738
ReAtlas_smallhydro.2590,42.63350670577377,-123.29640818499442,2590,874161.000000,1050.967,345.997
ReAtlas_smallhydro.2595,42.47286861183957,-124.11651690449358,2595,874264.000000,1701.456,226.050
ReAtlas_smallhydro.2601,42.48739555771586,-124.09032904717762,2601,874249.000000,2550.036,272.441
ReAtlas_smallhydro.2614,42.5406377976558,-123.96541848438207,2614,874238.000000,2039.570,1481.726
ReAtlas_smallhydro.2636,42.617891503391895,-123.90640654607313,2636,874049.000000,1487.911,979.626
ReAtlas_smallhydro.2653,42.62601434401535,-124.30790602025039,2653,872563.000000,1084.713,221.686
ReAtlas_smallhydro.2655,42.93474276825357,-122.94044928729642,2655,871616.000000,1212.149,38.419
ReAtlas_smallhydro.2657,42.693128943010485,-124.08235714626747,2657,872888.000000,1764.667,598.622
