FID,gid,pen_power_,pen_head_f,pen_class
ReAtlas_smallhydro.4736,4736,1291.563,589.173,Small Hydro
ReAtlas_smallhydro.4737,4737,1974.2,310.794,Small Hydro
ReAtlas_smallhydro.4738,4738,2435.93,222.999,Small Hydro
ReAtlas_smallhydro.4740,4740,1711.237,238.747,Small Hydro
ReAtlas_smallhydro.4741,4741,2277.391,599.18,Small Hydro
ReAtlas_smallhydro.4742,4742,1757.027,476.345,Small Hydro
ReAtlas_smallhydro.4743,4743,1212.655,604.79,Small Hydro
ReAtlas_smallhydro.4745,4745,1147.678,174.114,Small Hydro
ReAtlas_smallhydro.4746,4746,1447.317,559.121,Small Hydro
ReAtlas_smallhydro.4748,4748,2647.783,407.71,Small Hydro
ReAtlas_smallhydro.4750,4750,1285.436,1115.715,Small Hydro
ReAtlas_smallhydro.4751,4751,1229.03,179.921,Small Hydro
ReAtlas_smallhydro.4755,4755,1593.083,611.877,Small Hydro
ReAtlas_smallhydro.4756,4756,1167.979,309.121,Small Hydro
ReAtlas_smallhydro.4757,4757,3878.144,194.718,Small Hydro
ReAtlas_smallhydro.4760,4760,1474.398,92.388,Small Hydro
ReAtlas_smallhydro.4761,4761,6232.043,1317.946,Small Hydro
ReAtlas_smallhydro.4763,4763,1410.202,373.228,Small Hydro
ReAtlas_smallhydro.4767,4767,2171.123,29.199,Small Hydro
ReAtlas_smallhydro.4769,4769,15954.627,215.289,Small Hydro
ReAtlas_smallhydro.4770,4770,1509.447,119.094,Small Hydro
ReAtlas_smallhydro.4775,4775,1534.639,129.003,Small Hydro
ReAtlas_smallhydro.4778,4778,12932.836,119.98,Small Hydro
ReAtlas_smallhydro.4781,4781,16896.836,161.647,Small Hydro
ReAtlas_smallhydro.4782,4782,8398.052,79.068,Small Hydro
ReAtlas_smallhydro.4784,4784,1130.345,303.379,Small Hydro
ReAtlas_smallhydro.4785,4785,8557.437,71.686,Small Hydro
ReAtlas_smallhydro.4786,4786,26020.346,239.665,Small Hydro
ReAtlas_smallhydro.4787,4787,3536.084,32.349,Small Hydro
ReAtlas_smallhydro.4788,4788,1382.969,315.42,Small Hydro
ReAtlas_smallhydro.4789,4789,1108.336,115.912,Small Hydro
ReAtlas_smallhydro.4790,4790,12908.939,114.993,Small Hydro
ReAtlas_smallhydro.4791,4791,1973.262,806.529,Small Hydro
ReAtlas_smallhydro.4792,4792,1124.103,25.066,Small Hydro
ReAtlas_smallhydro.4793,4793,1894.936,45.899,Small Hydro
ReAtlas_smallhydro.4794,4794,2576.419,64.173,Small Hydro
ReAtlas_smallhydro.4796,4796,5471.8,126.903,Small Hydro
ReAtlas_smallhydro.4797,4797,2128.568,259.81,Small Hydro
ReAtlas_smallhydro.4799,4799,2328.005,496.26,Small Hydro
ReAtlas_smallhydro.4800,4800,2949.039,85.761,Small Hydro
ReAtlas_smallhydro.4801,4801,4688.071,237.434,Small Hydro
ReAtlas_smallhydro.4802,4802,3020.937,99.967,Small Hydro
ReAtlas_smallhydro.4803,4803,1495.27,447.113,Small Hydro
ReAtlas_smallhydro.4804,4804,1015.472,949.114,Small Hydro
ReAtlas_smallhydro.4805,4805,1236.517,1757.94,Small Hydro
ReAtlas_smallhydro.4806,4806,1830.223,189.042,Small Hydro
ReAtlas_smallhydro.4807,4807,3808.513,132.907,Small Hydro
ReAtlas_smallhydro.4808,4808,12417,293.373,Small Hydro
ReAtlas_smallhydro.4810,4810,1943.031,407.677,Small Hydro
ReAtlas_smallhydro.4811,4811,1350.064,171.358,Small Hydro
ReAtlas_smallhydro.4812,4812,1148.073,153.445,Small Hydro
ReAtlas_smallhydro.4813,4813,1799.247,81.824,Small Hydro
ReAtlas_smallhydro.4815,4815,1819.547,243.438,Small Hydro
ReAtlas_smallhydro.4816,4816,1359.845,195.013,Small Hydro
ReAtlas_smallhydro.4817,4817,1429.906,2222.31,Small Hydro
ReAtlas_smallhydro.4820,4820,1418.488,1192.388,Small Hydro
ReAtlas_smallhydro.4821,4821,1598.578,76.444,Small Hydro
ReAtlas_smallhydro.4824,4824,1538.976,2120.866,Small Hydro
ReAtlas_smallhydro.4825,4825,1736.498,86.056,Small Hydro
ReAtlas_smallhydro.4827,4827,2360.153,210.86,Small Hydro
ReAtlas_smallhydro.4828,4828,1966.072,51.214,Small Hydro
ReAtlas_smallhydro.4830,4830,2865.453,78.675,Small Hydro
ReAtlas_smallhydro.4832,4832,5149.016,150.591,Small Hydro
ReAtlas_smallhydro.4833,4833,6891.133,220.768,Small Hydro
ReAtlas_smallhydro.4834,4834,2062.271,186.745,Small Hydro
ReAtlas_smallhydro.4835,4835,1070.29,351.476,Small Hydro
ReAtlas_smallhydro.4837,4837,1115.817,228.379,Small Hydro
ReAtlas_smallhydro.4838,4838,5306.536,188.681,Small Hydro
ReAtlas_smallhydro.4840,4840,3004.083,97.835,Small Hydro
ReAtlas_smallhydro.4841,4841,1757.059,339.862,Small Hydro
ReAtlas_smallhydro.4843,4843,2086.131,167.06,Small Hydro
ReAtlas_smallhydro.4846,4846,2634.279,227.592,Small Hydro
ReAtlas_smallhydro.4849,4849,2747.142,285.072,Small Hydro
ReAtlas_smallhydro.4850,4850,1396.393,717.815,Small Hydro
ReAtlas_smallhydro.4852,4852,1026.034,1540.846,Small Hydro
ReAtlas_smallhydro.4853,4853,1133.367,851.017,Small Hydro
