FID,gid,name,state_name,crops,manure,forest,primmill,secmill,urban,landfill,total
ReAtlas_biomass.2667,2667,Meriwether,Georgia,333.914,16.6,36881,341993,4.082,2604.003,0,391673.064
ReAtlas_biomass.2829,2829,Litchfield,Connecticut,0,0,17130,10225,1624.831,20085.171,15127.161,64915.285
ReAtlas_biomass.2830,2830,Hartford,Connecticut,0,0,3124,3260,7156.015,93824.219,16814.32,125641.352
ReAtlas_biomass.2833,2833,New Haven,Connecticut,0,0,8209,6246,4242.01,90744.707,13328.32,124767.657
ReAtlas_biomass.2834,2834,New London,Connecticut,0,0,9522,5931,787.471,28848.658,6573.161,52167.83
ReAtlas_biomass.2835,2835,Middlesex,Connecticut,0,0,14416,24708,2028.701,17394.577,0,58858.135
ReAtlas_biomass.2836,2836,Fairfield,Connecticut,0,0,559,1845,6205.392,97323.525,13305.57,120697.9
ReAtlas_biomass.2351,2351,Posey,Indiana,143690.305,283.371,13184,0,489.6,3188.55,2234.988,166566.55
ReAtlas_biomass.2352,2352,Spencer,Indiana,62203.537,1193.456,10954,13544,248.882,2515.791,9385,118051.831
ReAtlas_biomass.2353,2353,Vanderburgh,Indiana,55038.858,64.732,15436,5676,1792.066,19680.527,12033.161,112406.084
ReAtlas_biomass.2354,2354,Jo Daviess,Illinois,128533.84,682.635,16856,0,16.33,2642.545,0,297813.909
ReAtlas_biomass.2267,2267,Porter,Indiana,82414.687,293.303,1750,11531,530.424,17167.612,15113.34,141544.328
ReAtlas_biomass.2268,2268,Lake,Indiana,84594.821,502.221,1374,0,3029.213,55469.775,12614,168389.906
ReAtlas_biomass.1256,1256,Holt,Nebraska,238316.467,6297.146,2078,0,0,1268.596,0,247979.31
ReAtlas_biomass.1257,1257,Knox,Nebraska,92983.327,3203.115,2251,0,0,1029.506,0,197177.003
ReAtlas_biomass.1258,1258,Cedar,Nebraska,177824.656,4561.711,792,0,0,1055.974,0,276735.651
ReAtlas_biomass.1259,1259,Brown,Nebraska,49795.06,458.232,47,0,0,387.135,0,50693.256
ReAtlas_biomass.2848,2848,Washington,Colorado,84353.814,909.647,0,0,4.082,502.365,0,85778.053
ReAtlas_biomass.2764,2764,Leon,Florida,0,3.284,23463,0,1983.794,25200.333,5990.761,64597.735
ReAtlas_biomass.2765,2765,Jefferson,Florida,3221.409,13.137,95121,0,244.8,1519.823,0,154110.832
ReAtlas_biomass.2766,2766,Madison,Florida,2987.774,126.613,108592,19180,244.8,2124.645,2828.73,172748.275
ReAtlas_biomass.2767,2767,Hamilton,Florida,3518.655,45.008,51241,0,0,1382.346,0,60334.993
ReAtlas_biomass.2768,2768,Calhoun,Florida,4930.025,4.379,59462,33586,4.082,1531.751,0,104915.377
ReAtlas_biomass.2769,2769,Liberty,Florida,0,2.19,27848,91725,248.882,909.815,0,120745.496
ReAtlas_biomass.2770,2770,Columbia,Florida,1068.443,50.397,56970,78143,750.73,6043.384,0,145745.748
ReAtlas_biomass.411,411,Red River,Texas,13093.02,97.939,50485,0,269.294,1811.119,0,155614.615
ReAtlas_biomass.412,412,Grayson,Texas,39558.974,210.069,0,0,775.224,12615.388,6588.917,79231.678
ReAtlas_biomass.414,414,Lamar,Texas,30978.612,230.209,0,0,257.047,5486.064,0,126262.508
ReAtlas_biomass.415,415,Fannin,Texas,37748.529,54.411,0,0,257.047,3903.247,0,63390.796
ReAtlas_biomass.2771,2771,Duval,Florida,0,499.034,42156,115516,9283.45,81152.521,40760.16,290655.118
ReAtlas_biomass.1384,1384,Logan,North Dakota,26483.204,30.673,0,0,0,228,0,247169.893
ReAtlas_biomass.1385,1385,Richland,North Dakota,471620.143,197.778,219,0,12.247,1959.525,0,619224.928
ReAtlas_biomass.1402,1402,Stokes,North Carolina,919.013,113.071,30078,47480,261.13,4598.555,1172.002,84869.887
ReAtlas_biomass.1403,1403,Northampton,North Carolina,20967.434,4829.52,67932,124067,0,2408.276,889.791,233660.788
ReAtlas_biomass.1404,1404,Hertford,North Carolina,14003.065,2567.949,52300,51670,257.047,2369.419,747.963,126919.36
ReAtlas_biomass.1405,1405,Warren,North Carolina,3030.077,1690.473,134615,71560,501.847,2104.362,563.571,238984.666
ReAtlas_biomass.425,425,Bowie,Texas,12512.289,423.161,53846,61505,1241.23,9963.665,0,151118.729
ReAtlas_biomass.2781,2781,Clay,Florida,0,6.569,34111,130411,16.33,15059.864,1336.936,181174.548
ReAtlas_biomass.2787,2787,St. Johns,Florida,332.234,6.569,46604,0,24.494,12953.766,1065.064,61189.742
ReAtlas_biomass.2788,2788,Putnam,Florida,0,13.137,39729,288947,285.624,7395.422,11840.97,348327.604
ReAtlas_biomass.2789,2789,Dixie,Florida,0,21.474,83309,156314,0,1524.989,0,241319.335
ReAtlas_biomass.2791,2791,Flagler,Florida,0,9.853,43576,9619,277.459,5350.395,0,58915.11
ReAtlas_biomass.2792,2792,Marion,Florida,1758.05,479.168,44652,1329,901.778,27310.021,9179.401,86037.56
