FID,lat,lon,gid,class
ReAtlas_us_geothermal.396,39.37511825648003,-75.20796249215712,396,5
ReAtlas_us_geothermal.551,37.87519524098291,-79.45830669370571,551,5
ReAtlas_us_geothermal.593,37.45904072577004,-82.042983159806,593,4
ReAtlas_us_geothermal.927,29.25030234748369,-98.62550250732892,927,5
ReAtlas_us_geothermal.813,33.37537141180882,-88.16777774832244,813,3
ReAtlas_us_geothermal.471,38.79179059654811,-79.37479506765109,471,5
ReAtlas_us_geothermal.472,38.87511728579719,-80.04149009467818,472,3
ReAtlas_us_geothermal.432,39.333445097271884,-79.29147719915193,432,3
ReAtlas_us_geothermal.918,29.45859545237363,-94.91690353146066,918,5
ReAtlas_us_geothermal.426,39.458462577272925,-78.99989896137524,426,5
ReAtlas_us_geothermal.481,38.791785278507874,-80.12482295158463,481,3
ReAtlas_us_geothermal.438,39.250114736524786,-79.04146722411912,438,5
ReAtlas_us_geothermal.440,39.25011143675313,-79.12480619719204,440,5
ReAtlas_us_geothermal.916,29.458627693109086,-99.29204187419134,916,3
ReAtlas_us_geothermal.915,29.54191378222263,-97.54195897205489,915,4
ReAtlas_us_geothermal.446,39.16679816810662,-79.37482416937283,446,3
ReAtlas_us_geothermal.451,39.08345567595005,-79.20814142254034,451,5
ReAtlas_us_geothermal.912,29.6252386655937,-94.708542461766,912,5
ReAtlas_us_geothermal.908,29.70855505781416,-92.12514559478166,908,5
ReAtlas_us_geothermal.460,39.00014771396973,-79.16662342759938,460,5
ReAtlas_us_geothermal.104,46.37506320120203,-84.20844897958594,104,5
ReAtlas_us_geothermal.461,38.916788968781574,-79.29148307057355,461,5
ReAtlas_us_geothermal.462,39.37599896099893,-79.54445344123266,462,3
ReAtlas_us_geothermal.464,38.95845036100192,-80.04149491624389,464,4
ReAtlas_us_geothermal.467,38.87656718973284,-75.67214462879838,467,5
ReAtlas_us_geothermal.473,38.87511985971009,-80.12482456301939,473,4
ReAtlas_us_geothermal.352,41.50440192001753,-79.42802429656922,352,4
ReAtlas_us_geothermal.407,42.35457348024598,-76.97138585143799,407,5
ReAtlas_us_geothermal.134,44.7922714753824,-122.59626600816358,134,5
ReAtlas_us_geothermal.126,43.70837515491316,-122.62750484124251,126,4
ReAtlas_us_geothermal.127,43.58324770446807,-122.62668602937407,127,3
ReAtlas_us_geothermal.132,44.70876884487074,-122.71953666129104,132,5
ReAtlas_us_geothermal.482,38.79178273985114,-80.2081174014738,482,4
ReAtlas_us_geothermal.485,38.29191427241527,-76.49996320996382,485,4
ReAtlas_us_geothermal.490,38.708459498404274,-80.2081459660672,490,3
ReAtlas_us_geothermal.491,38.6260156042045,-75.79532180667042,491,4
ReAtlas_us_geothermal.493,38.70846135874365,-80.291500973898,493,4
ReAtlas_us_geothermal.517,39.878061686094476,-81.84990959995898,517,4
ReAtlas_us_geothermal.910,29.708799552187898,-94.4169553556186,910,5
ReAtlas_us_geothermal.510,38.54180069885726,-79.37488686619514,510,5
